,pln_area_n
0,MARINE PARADE
1,NORTH-EASTERN ISLANDS
2,PIONEER
3,JURONG WEST
4,KALLANG
5,NOVENA
6,PASIR RIS
7,HOUGANG
8,JURONG EAST
9,LIM CHU KANG
10,MANDAI
11,BUKIT PANJANG
12,BUKIT TIMAH
13,ANG MO KIO
14,BEDOK
15,BISHAN
16,BOON LAY
17,BUKIT BATOK
18,BUKIT MERAH
19,CHOA CHU KANG
20,TANGLIN
21,GEYLANG
22,CHANGI
23,SELETAR
24,SENGKANG
25,SERANGOON
26,DOWNTOWN CORE
27,SUNGEI KADUT
28,TAMPINES
29,ORCHARD
30,OUTRAM
31,TENGAH
32,TOA PAYOH
33,MARINA EAST
34,WOODLANDS
35,MARINA SOUTH
36,SINGAPORE RIVER
37,STRAITS VIEW
38,SIMPANG
39,SOUTHERN ISLANDS
40,TUAS
41,WESTERN ISLANDS
42,WESTERN WATER CATCHMENT
43,YISHUN
44,MUSEUM
45,NEWTON
46,CHANGI BAY
47,CLEMENTI
48,PAYA LEBAR
49,PUNGGOL
50,QUEENSTOWN
51,SEMBAWANG
52,CENTRAL WATER CATCHMENT
53,RIVER VALLEY
54,ROCHOR
