,pln_area_n,lat,long
0,MARINE PARADE,1.32147998167819,103.87047996609765
1,NORTH-EASTERN ISLANDS,1.2901800000000208,103.85199000000006
2,PIONEER,1.3074394309030084,103.67251707150497
3,JURONG WEST,1.339490000000069,103.70739000000003
4,KALLANG,1.3094109697255556,103.86671993751224
5,NOVENA,1.3190700000000675,103.84374000000008
6,PASIR RIS,1.371940000000052,103.94994000000008
7,HOUGANG,1.3711400000000253,103.89144000000005
8,JURONG EAST,1.3343700000000354,103.74367000000007
9,LIM CHU KANG,1.4196700000000533,103.70232000000004
10,MANDAI,1.412597861239071,103.7897363168092
11,BUKIT PANJANG,1.3787700000000314,103.76977000000005
12,BUKIT TIMAH,1.3404100000000199,103.77221000000009
13,ANG MO KIO,1.3716100000000324,103.84546000000006
14,BEDOK,1.324260000000038,103.95296000000008
15,BISHAN,1.3507900000000745,103.85110000000009
16,BOON LAY,1.3469466490495203,103.71275394107266
17,BUKIT BATOK,1.349520000000041,103.75277000000006
18,BUKIT MERAH,1.285454701684308,103.82259413025098
19,CHOA CHU KANG,1.3861600000000749,103.74618000000004
20,TANGLIN,1.299729108500352,103.81734850889131
21,GEYLANG,1.3114700000000425,103.88218000000006
22,CHANGI,1.3699600000000487,103.99308000000008
23,SELETAR,1.3879440000000076,103.86875925000001
24,SENGKANG,1.3924600000000282,103.89459000000005
25,SERANGOON,1.355540000000076,103.87660000000005
26,DOWNTOWN CORE,1.3771599483526997,103.95552993392594
27,SUNGEI KADUT,1.4185974060572377,103.74294321777901
28,TAMPINES,1.3681900000000269,103.92948000000007
29,ORCHARD,1.3011200000000258,103.83955000000009
30,OUTRAM,1.2892320000000015,103.83499574999999
31,TENGAH,1.3847953169284664,103.73128039701808
32,TOA PAYOH,1.3344800000000419,103.85108000000008
33,MARINA EAST,1.2957900000000677,103.89544000000006
34,WOODLANDS,1.4358500000000731,103.78698000000009
35,MARINA SOUTH,1.2785700000000588,103.85762000000005
36,SINGAPORE RIVER,1.286670000000072,103.85250000000008
37,STRAITS VIEW,1.279866905479856,103.85359292193009
38,SIMPANG,1.2901800000000208,103.85199000000006
39,SOUTHERN ISLANDS,1.2901800000000208,103.85199000000006
40,TUAS,1.3118200000000684,103.63052000000005
41,WESTERN ISLANDS,1.330580019475744,103.6952200699693
42,WESTERN WATER CATCHMENT,1.2901800000000208,103.85199000000006
43,YISHUN,1.4362100000000737,103.83582000000007
44,MUSEUM,1.2957400000000234,103.78033000000005
45,NEWTON,1.312180000000069,103.83912000000004
46,CHANGI BAY,1.3699600000000487,103.99308000000008
47,CLEMENTI,1.3143800000000283,103.76537000000008
48,PAYA LEBAR,1.3250300000000266,103.89049000000006
49,PUNGGOL,1.402460000000076,103.90686000000005
50,QUEENSTOWN,1.299660000000074,103.80172000000005
51,SEMBAWANG,1.4479400000000737,103.81891000000007
52,CENTRAL WATER CATCHMENT,1.2901800000000208,103.85199000000006
53,RIVER VALLEY,1.2954566491732973,103.82990249644342
54,ROCHOR,1.3041300000000433,103.85029000000009
